customer_id,tenure_months,days_since_purchase,orders_90d,avg_basket,discount_share,returns_90d,support_tickets,loyalty_member,preferred_category,churned_90d
R00867,61,77,3,42.68,0.51,2,1,Yes,Beauty,0
R00868,20,60,1,83.13,0.242,0,3,Yes,Electronics,0
R00869,62,47,5,83.32,0.275,1,0,Yes,Grocery,0
R00870,14,57,3,32.64,0.268,0,0,Yes,Electronics,0
R00871,55,32,6,54.87,0.095,0,1,Yes,Apparel,0
R00872,39,31,7,92.25,0.355,0,0,Yes,Beauty,1
R00873,32,24,5,84.16,0.407,2,1,Yes,Apparel,0
R00874,40,61,7,70.03,0.338,1,0,Yes,Apparel,0
R00875,57,102,3,102.97,0.411,1,0,Yes,Grocery,1
R00876,36,54,4,67.66,0.057,0,0,Yes,Home,0
R00877,62,73,6,72.77,0.159,2,2,Yes,Beauty,0
R00878,50,31,7,99.7,0.147,2,1,Yes,Beauty,0
R00879,47,31,5,29,0.252,2,1,Yes,Home,0
R00880,11,85,3,67.69,0.164,0,0,No,Home,0
R00881,39,50,4,78.49,0.156,0,2,Yes,Home,0
R00882,3,45,4,42.05,0.187,0,0,Yes,Grocery,0
R00883,17,60,4,61.79,0.44,0,0,No,Home,0
R00884,4,50,1,87.5,0,1,0,No,Beauty,0
R00885,59,29,0,25.5,0,0,0,Yes,Home,1
R00886,40,43,3,53.56,0.081,1,1,Yes,Grocery,0
R00887,2,76,5,82.6,0.197,0,0,No,Grocery,0
R00888,37,91,4,137.99,0.707,1,1,Yes,Grocery,0
R00889,32,61,6,70.88,0.466,0,0,Yes,Home,1
R00890,29,51,5,92.65,0.342,1,0,Yes,Apparel,0
R00891,46,22,6,100.8,0.324,0,0,Yes,Electronics,0
R00892,42,63,4,104.13,0.177,1,0,Yes,Beauty,0
R00893,49,50,8,59.97,0.167,0,0,Yes,Apparel,0
R00894,38,57,8,65.86,0.311,2,1,Yes,Apparel,0
R00895,53,32,8,108.56,0.416,1,0,No,Home,0
R00896,22,71,6,84.3,0.193,0,0,Yes,Beauty,0
R00897,9,46,9,66.32,0.246,2,1,Yes,Electronics,0
R00898,48,37,5,49.57,0.174,1,0,Yes,Beauty,0
R00899,40,142,0,49.71,0.424,0,0,Yes,Beauty,1
R00900,2,74,4,31.65,0.303,1,1,Yes,Apparel,0
R00901,37,86,1,88.78,0.248,1,0,Yes,Apparel,1
R00902,50,32,8,17.62,0.263,1,0,Yes,Beauty,0
R00903,31,51,4,47.54,0.168,1,0,Yes,Grocery,0
R00904,60,64,6,10,0.311,1,1,Yes,Grocery,0
R00905,63,90,6,21.97,0.505,1,0,Yes,Electronics,0
R00906,54,80,0,65.05,0.101,2,1,Yes,Home,1
R00907,52,29,7,15.8,0.326,2,2,Yes,Beauty,0
R00908,4,68,5,61.14,0.609,2,1,Yes,Grocery,0
R00909,4,61,6,79.19,0.209,0,1,Yes,Electronics,0
R00910,28,87,1,76.71,0.134,1,0,Yes,Home,0
R00911,54,66,2,84.75,0.541,1,0,Yes,Electronics,0
R00912,13,57,4,122.25,0.407,1,0,Yes,Grocery,0
R00913,31,76,4,47.56,0.251,0,0,No,Grocery,0
R00914,25,95,3,51.67,0.451,2,2,Yes,Home,0
R00915,1,88,3,48.33,0.038,0,0,Yes,Home,1
R00916,43,55,5,81.98,0,0,0,No,Grocery,0
R00917,29,23,3,62.77,0,0,1,Yes,Beauty,0
R00918,32,76,5,48.5,0.519,2,2,Yes,Electronics,1
R00919,30,40,4,69.06,0.036,1,1,Yes,Home,0
R00920,55,55,4,53.41,0.262,1,1,Yes,Grocery,0
R00921,12,46,6,106.58,0.16,1,0,Yes,Grocery,0
R00922,1,28,8,73.69,0.181,0,2,Yes,Grocery,0
R00923,17,62,1,53.97,0.081,0,0,Yes,Apparel,0
R00924,20,65,5,80.14,0.431,2,1,Yes,Electronics,0
R00925,22,64,2,42.9,0.296,0,0,No,Electronics,0
R00926,18,37,3,52.22,0.184,1,0,Yes,Electronics,0
R00927,56,63,5,10,0.104,0,0,Yes,Beauty,0
R00928,10,64,3,42.64,0.034,0,0,No,Beauty,0
R00929,48,53,4,63.33,0.396,1,0,Yes,Grocery,0
R00930,7,70,3,87.91,0.243,1,2,Yes,Grocery,1
R00931,50,29,9,62.46,0,1,0,Yes,Home,0
R00932,64,48,7,36.06,0.24,1,1,Yes,Electronics,0
R00933,31,57,1,10.73,0.306,1,0,Yes,Electronics,1
R00934,59,19,8,60.38,0,0,0,Yes,Home,0
R00935,24,44,2,37.4,0.416,0,1,No,Grocery,0
R00936,47,74,5,27.92,0.597,2,1,Yes,Electronics,0
R00937,28,61,8,56.34,0.435,1,1,Yes,Home,0
R00938,21,34,2,109.36,0.406,2,0,No,Beauty,0
R00939,27,76,5,136.71,0.515,2,1,Yes,Grocery,0
R00940,30,55,4,79.03,0.252,1,1,Yes,Electronics,1
R00941,36,39,6,67.69,0.217,1,1,Yes,Beauty,0
R00942,3,81,2,27.37,0.374,2,0,No,Home,0
R00943,43,84,4,78.72,0.125,0,0,Yes,Electronics,1
R00944,38,22,6,54.78,0.356,0,1,Yes,Home,0
R00945,15,49,2,10,0.45,2,0,Yes,Apparel,1
R00946,38,78,5,62.83,0.352,0,0,Yes,Grocery,0
R00947,13,54,2,61.45,0.384,1,0,No,Electronics,1
R00948,6,92,3,90.64,0.052,0,0,No,Beauty,0
R00949,5,45,4,103.35,0.639,2,2,No,Apparel,1
R00950,53,57,6,61.21,0.41,1,0,Yes,Electronics,0
R00951,25,48,5,67.84,0.338,3,0,Yes,Grocery,0
R00952,19,25,4,37.88,0.248,0,0,Yes,Apparel,0
R00953,24,74,2,56.21,0.605,1,1,No,Apparel,1
R00954,5,27,11,42.7,0.173,1,0,Yes,Apparel,0
R00955,39,33,9,57.95,0,0,0,Yes,Electronics,0
R00956,5,124,0,60.46,0.165,2,3,No,Apparel,1
R00957,55,42,9,113.52,0.281,0,0,Yes,Grocery,0
R00958,21,26,6,44.43,0.105,1,0,Yes,Apparel,0
R00959,32,71,7,75.31,0.18,0,0,Yes,Electronics,0
R00960,18,54,7,17.38,0,1,1,No,Beauty,0
R00961,39,56,3,57.93,0.348,0,0,Yes,Apparel,0
R00962,35,74,2,30.12,0.382,1,1,Yes,Home,1
R00963,56,74,6,92.32,0.523,2,0,Yes,Electronics,0
R00964,50,57,10,57.92,0.292,1,0,Yes,Electronics,0
R00965,42,61,8,10,0.358,2,1,Yes,Electronics,0
R00966,47,37,1,62.8,0.403,1,0,Yes,Beauty,0
R00967,27,75,5,55.5,0.543,1,0,Yes,Beauty,0
R00968,10,61,5,82.89,0.326,0,1,No,Apparel,0
R00969,10,32,2,85.89,0.161,0,0,Yes,Electronics,0
R00970,60,26,7,72.72,0.211,0,0,Yes,Electronics,0
R00971,26,85,5,60.11,0.093,0,0,Yes,Electronics,0
R00972,32,72,2,76.13,0.446,0,0,Yes,Beauty,1
R00973,47,81,6,46.24,0.346,0,0,Yes,Beauty,0
R00974,3,42,4,19.7,0.284,1,0,No,Electronics,0
R00975,13,68,4,59.41,0.428,1,1,No,Grocery,1
R00976,4,32,5,44.77,0.046,0,1,Yes,Beauty,0
R00977,59,80,4,91.02,0.373,0,1,Yes,Home,0
R00978,50,38,6,66.04,0.492,2,1,Yes,Electronics,0
R00979,54,21,6,45.77,0.018,0,1,Yes,Home,0
R00980,44,50,3,58.54,0.314,2,0,Yes,Home,0
R00981,58,49,4,84.2,0.385,1,1,Yes,Apparel,0
R00982,44,79,5,47.25,0.113,0,1,Yes,Electronics,0
R00983,20,54,5,56.12,0.303,0,0,Yes,Home,0
R00984,23,100,1,68.35,0.32,0,0,Yes,Apparel,0
R00985,64,49,7,71.05,0.328,1,1,Yes,Grocery,0
R00986,40,32,4,110.77,0.234,0,0,Yes,Apparel,0
R00987,22,57,1,59.94,0.609,1,0,Yes,Electronics,1
R00988,3,53,4,68.77,0.352,0,0,Yes,Beauty,0
R00989,35,64,2,68.95,0.197,2,2,Yes,Grocery,0
R00990,31,58,2,113.31,0.224,0,0,No,Grocery,0
R00991,15,98,1,36.43,0.502,1,0,No,Grocery,1
R00992,46,84,1,63.31,0.425,1,0,No,Electronics,1
R00993,29,66,1,14.14,0.159,0,0,Yes,Apparel,0
R00994,28,52,5,123.7,0.734,0,0,No,Grocery,0
R00995,7,93,0,53.35,0.164,0,0,Yes,Home,0
R00996,18,47,5,74.17,0.706,1,0,Yes,Apparel,0
R00997,26,44,7,57.1,0.045,0,0,Yes,Home,0
R00998,36,75,3,25.82,0.595,2,2,Yes,Beauty,1
R00999,12,62,3,44.02,0.356,0,0,No,Apparel,1
R01000,3,47,1,64.64,0.457,1,2,Yes,Electronics,1
